KdBar,Barcode,Nmbar,KdKel,NmKel,HBeli,HPokok,HJual,markup,HTetap,Mst,StMin,StMax,StAwal,StMasuk,StKeluar,Konsi,Disc,Foto,HJUAL2,HJUAL3,MARKUP2,MARKUP3,QTY2,QTY3
'8997204340167,'8997204340167,MATOH SEA SALT,SNK,SNACK,13500,13500,18000,33.33333,N,N,0,0,100,12,90,N,0,,0,0,0,0,0,0
'8990800100050,'8990800100050,mentos buah,NULL,NULL,0,0,4000,0,N,N,0,0,0,0,96,N,0,,0,0,0,0,0,0
'8992003785812,'8992003785812,tejahe,NULL,NULL,0,0,3000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8993417212215,'8993417212215,eskulin cologne gel monday,NULL,NULL,0,0,18000,0,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8993417212277,'8993417212277,eskulin cologne gel sunday,NULL,NULL,0,0,18000,0,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8993417112270,'8993417112270,eskulin spesial day,C,CEMILAN,0,0,18000,0,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8992770033130,'8992770033130,masako,NULL,NULL,0,0,1500,0,N,N,0,0,0,0,93,N,0,,0,0,0,0,0,0
'8997019212024,'8997019212024,garam,NULL,NULL,1200,1200,3000,150,N,N,0,0,0,13,53,N,0,,0,0,0,0,0,0
'8999777004859,'8999777004859,nivea dry comfort,NULL,NULL,39000,39000,55000,41.02564,N,N,0,0,0,0,8,N,0,,0,0,0,0,0,0
'8999777009243,'8999777009243,nivea creme soft,NULL,NULL,7000,7000,10000,42.85714,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8999777888367,'8999777888367,nivea men extra white,NULL,NULL,25600,25600,36000,40.625,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8999777813499,'8999777813499,nivea men acne control,NULL,NULL,0,0,38000,0,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8999777000189,'8999777000189,nivea men whitening oil contro,NULL,NULL,24310,24310,38000,56.31427,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'8999777888381,'8999777888381,nivea men acne oil clear,NULL,NULL,0,0,39000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'9556149001053,'9556149001053,gillette foamy lemon,NULL,NULL,22000,22000,35000,59.09091,N,N,0,0,0,6,14,N,0,,0,0,0,0,0,0
'047400245105,'047400245105,gillette foamy lime 175g,NULL,NULL,36000,36000,55000,52.77778,N,N,0,0,0,0,7,N,0,,0,0,0,0,0,0
'047400247307,'047400247307,GILLETTE POAMY 175,NULL,NULL,36000,36000,60000,66.66667,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'8999777000004,'8999777000004,nivea body lotion,NULL,NULL,0,0,28000,0,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'8999777005351,'8999777005351,nivea sun lotion,NULL,NULL,23600,23600,55000,133.05085,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8992222050241,'8992222050241,gatsby,NULL,NULL,0,0,25000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'079656400137,'079656400137,DEEP TANNING OIL 2 SPF,NULL,NULL,107000,107000,130000,21.49533,N,N,0,0,8,0,7,N,0,,0,0,0,0,0,0
'8997014050317,'8997014050317,milton strawberry,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8997014050287,'8997014050287,milton nanas,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8997014050256,'8997014050256,milton apel,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'8940421052412,'8940421052412,dupa,NULL,NULL,6833,6833,9000,31.71374,N,N,0,0,0,40,189,N,0,,0,0,0,0,0,0
'8991102800020,'8991102800020,kiranti,NULL,NULL,0,0,8000,0,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'8992946522000,'8992946522000,minyak hemart,NULL,NULL,0,0,10000,0,N,N,0,0,0,0,19,N,0,,0,0,0,0,0,0
'8992946530357,'8992946530357,MINYAK HEMAT 1L,MYK,NULL,0,0,18000,0,N,N,0,0,0,0,13,N,0,,0,0,0,0,0,0
'8992628024143,'8992628024143,bimoli 620 ml,NULL,NULL,0,0,10000,0,N,N,0,0,0,6,21,N,0,,0,0,0,0,0,0
'8992628022156,'8992628022156,bimoli 1ltr,NULL,NULL,0,0,18000,0,N,N,0,0,0,0,9,N,0,,0,0,0,0,0,0
'8992628020152,'8992628020152,bimoli 2ltr,NULL,NULL,23000,23000,30000,30.43478,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8993189270680,'8993189270680,charm safe night,NULL,NULL,0,0,5000,0,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'8992796011204,'8992796011204,viva milk cleancer cucumber,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8992796011303,'8992796011303,viva face tonik,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'8992796011136,'8992796011136,viva milk cleancer bengkoang,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'8992796011402,'8992796011402,viva astringent cucumber,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'8999777890551,'8999777890551,nivea soft creme,NULL,NULL,18700,18700,35000,87.16578,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'8999777026172,'8999777026172,hansaplast jumbo,NULL,NULL,0,0,3000,0,N,N,0,0,0,0,24,N,0,,0,0,0,0,0,0
'8999777008895,'8999777008895,hansaplast,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,11,N,0,,0,0,0,0,0,0
'8999777928490,'8999777928490,hansaplast,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,9,N,0,,0,0,0,0,0,0
'089686400427,'089686400427,sambal pedas,NULL,NULL,6500,6500,8000,33.33333,N,N,0,0,0,7,16,N,0,,0,0,0,0,0,0
'711844120037,'711844120037,sambal abc,NULL,NULL,0,0,8000,0,N,N,0,0,0,0,10,N,0,,0,0,0,0,0,0
'8998866608008,'8998866608008,KECAP SEDAP MANIS,NULL,NULL,8700,8350,10000,14.94253,N,N,0,0,0,66,58,N,0,,0,0,0,0,0,0
'saos,'saos,KECAP ASIN RAJA RASA,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'8992702000063,'8992702000063,INDOMILK COKLAT KALENG 370G,NULL,NULL,9000,9000,12000,33.33333,N,N,0,0,0,2,-4,N,0,,0,0,0,0,0,0
'8992702000018,'8992702000018,INDOMILK KENTAL MANIS KLG,NULL,NULL,10000,10000,13000,30,N,N,0,0,0,2,14,N,0,,0,0,0,0,0,0
'pm,'pm,pemotong kuku besar,NULL,NULL,0,0,20000,0,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'pk,'pk,pemotong kuku kecil,NULL,NULL,0,0,10000,0,N,N,0,0,0,0,8,N,0,,0,0,0,0,0,0
'ta,'455,TELUR AYAM,NULL,NULL,1766,1766,2500,41.56285,N,N,0,0,0,1311,2266,N,0,,0,0,0,0,0,0
'4987176600554,'4987176600554,vicks vaporub 10ml,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'py py,'py,PAYUNG PELANGI BESAR,NULL,NULL,45000,45000,65000,44.44444,N,N,0,0,0,0,9,N,0,,0,0,0,0,0,0
'py,'pk,0,NULL,NULL,0,0,0,0,N,N,0,0,0,0,0,N,0,NULL,0,0,0,0,0,0
'P SATEN,'P SATEN,PAYUNG SATEN ORI,NULL,NULL,35000,35000,50000,42.85714,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'es,'es,ES CUBE,ES,ESKRIM,7000,7000,12000,71.42857,N,N,0,0,0,29,73,N,0,,0,0,0,0,0,0
'063548,'05643,LILIN KECIL ECERAN,NULL,NULL,2000,2000,4000,100,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'KK,'KK,KOREK KAYU,KRK,KOREK,0,0,1000,0,N,N,0,0,0,0,7,N,0,,0,0,0,0,0,0
'8992772585026,'8992772585026,ADEM SARI CHINGKU BTL 350ML,BTL,MINUMAN,6000,6000,8000,33.33333,N,N,0,0,0,135,275,N,0,,0,0,0,0,0,0
'84190376,'84190376,SMOKING PAPER,RK,ROKOK,0,0,30000,0,N,N,0,0,0,0,18,N,0,,0,0,0,0,0,0
'4970129745013,'4970129745013,pulpen,NULL,NULL,0,0,5000,0,N,N,0,0,0,0,61,N,0,,0,0,0,0,0,0
'8998866607353,'8998866607353,DAIA BESAR,NULL,NULL,20800,20800,25000,20.19231,N,N,0,0,0,0,7,N,0,,0,0,0,0,0,0
'8996001355046,'8996001355046,SUPER STAR TRIPLE COKLAT,NULL,NULL,917,917,1500,63.57688,N,N,0,0,0,72,295,N,0,,0,0,0,0,0,0
'8991002121010,'8991002121010,GOOD DAY FUNTASTIC MOCA 250ML,NULL,NULL,5042,5042,8000,58.6672,N,N,0,0,0,76,485,N,0,,0,0,0,0,0,0
'8991111153100,'8991111153100,listerin,NULL,NULL,0,0,17000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'079656651508,'079656651508,SPORT SPF 110,NULL,NULL,168300,168300,220000,30.71895,N,N,0,0,0,0,12,N,0,,0,0,0,0,0,0
'079656400106,'079656400106,DEEP TANNING OIL 236 ML,NULL,NULL,99000,99000,125000,26.26263,N,N,0,0,9,0,7,N,0,,0,0,0,0,0,0
'079656004021,'079656004021,PROTECTIVE TANNING OIL 15 SPF,NULL,NULL,238000,238000,270000,13.44538,N,N,0,0,9,3,12,N,0,,0,0,0,0,0,0
'4970129000013,'4970129000013,spidol,NULL,NULL,0,0,10000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'8996001308059,'8996001308059,ROMA SARI GANDUM SUSU&COKLAT,C,CEMILAN,1708,1708,3000,75.64403,N,N,0,0,0,12,13,N,0,,0,0,0,0,0,0
'8996006142511,'8996006142511,teh botol 25ml,NULL,NULL,3667,3667,5000,36.35124,N,N,0,0,0,72,153,N,0,,0,0,0,0,0,0
'8993176110074,'8993176110074,MINYAK KAYU PUTIH 60ML,NULL,NULL,20000,20000,25000,25,N,N,0,0,0,12,28,N,0,,0,0,0,0,0,0
'4902430507516,'4902430507516,head n shoulder,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'4902430418300,'4902430418300,PANTENE HITAM & PANJANG 135ML,SMP,NULL,21200,21200,30000,41.50943,N,N,0,0,0,0,9,N,0,,0,0,0,0,0,0
'8992727004558,'8992727004558,laurier relax nigh,NULL,NULL,0,0,4000,0,N,N,0,0,0,0,19,N,0,,0,0,0,0,0,0
'4902430869133,'4902430869133,HEAD & SHOULDERS ANTI KETOMBE,SMP,NULL,21000,21000,30000,42.85714,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'8999999033170,'8999999033170,LIFEBUOY STRONG&SHINY 170ML,SMP,NULL,13000,13000,28000,115.38462,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'8999999033217,'8999999033217,LIFEBUOY ANTI DANDRUFF 170ML,SMP,NULL,21000,21000,30000,42.85714,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'4902430400947,'4902430400947,PANTENE ANTI KETOMBE 135ML,SMP,NULL,21000,21000,30000,42.85714,N,N,0,0,0,0,9,N,0,,0,0,0,0,0,0
'4902430792196,'4902430792196,PANTENE ANTI LEPEK 135ML,SMP,NULL,22100,22100,30000,35.74661,N,N,0,0,0,3,6,N,0,,0,0,0,0,0,0
'8998866105736,'8998866105736,ZINC HAIR FALL TREATMENT 170ML,SMP,NULL,21000,21000,28000,33.33333,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8998866105743,'8998866105743,zinc cool,NULL,NULL,0,0,28000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'8998866105767,'8998866105767,ZINC SOFTCARE170ML,SMP,NULL,22100,22100,28000,26.69683,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8999999029685,'8999999029685,clear soft care,NULL,NULL,0,0,30000,0,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'8999999029821,'8999999029821,CLEAR STRONG & SOFT 170ML,SMP,NULL,22100,22100,30000,35.74661,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8999999048181,'8999999048181,sunsilk black shine,NULL,NULL,0,0,30000,0,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'8992745120858,'8992745120858,hit 225ml,BEER,BEER,0,0,20000,0,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8992745475019,'8992745475019,MITUBABY CHANGING DIAPER 50,POP,NULL,0,0,20000,0,N,N,0,0,0,2,9,N,0,,0,0,0,0,0,0
'8992745560173,'8992745560173,MITUBABY CHANGING PINK 50,POP,NULL,0,0,20000,0,N,N,0,0,0,2,6,N,0,,0,0,0,0,0,0
'8992745560166,'8992745560166,MITUBABY CHANGING BLUE 50,POP,NULL,0,0,20000,0,N,N,0,0,0,2,11,N,0,,0,0,0,0,0,0
'8992750540900,'8992750540900,MITUBABY CHANGING 10,POP,NULL,0,0,7000,0,N,N,0,0,0,0,11,N,0,,0,0,0,0,0,0
'8992745326755,'8992745326755,MITUBABY ANTISEPTIC,POP,NULL,0,0,4000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8992745540298,'8992745540298,MITUBABY FRESH&CLEAN 4,POP,NULL,0,0,4000,0,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'8992745550242,'8992745550242,MITUBABY FRESH BLUE 4,POP,NULL,0,0,4000,0,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'SOS,'SOS,SOSIS SONICE,C,CEMILAN,800,800,1500,87.5,N,N,0,0,0,286,644,N,0,,0,0,0,0,0,0
'8993058105013,'8993058105013,EXTRA JOSS KOTAK,BTL,MINUMAN,13000,13000,18000,38.46154,N,N,0,0,0,85,246,N,0,,0,0,0,0,0,0
'4902430400664,'4902430400664,CONDITIONER PANTENE 75ML,NULL,NULL,16000,16000,18000,80,N,N,0,0,0,8,17,N,0,,0,0,0,0,0,0
'4902430553636,'4902430553636,HEAD & SHOULDER LEMON 160ML,NULL,NULL,23000,23000,30000,30.43478,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'4902430792219,'4902430792219,PANTENE ANTI LEPEK 70ML,NULL,NULL,12500,12500,18000,44,N,N,0,0,0,0,8,N,0,,0,0,0,0,0,0
'4902430419017,'4902430419017,PANTENE LONG BLACK 70ML,NULL,NULL,16000,16000,18000,44,N,N,0,0,0,6,10,N,0,,0,0,0,0,0,0
'8999999529673,'8999999529673,CLEAR ICE COOL MENTHOL 80ML,NULL,NULL,15000,15000,18000,44,N,N,0,0,0,3,9,N,0,,0,0,0,0,0,0
'8998866606813,'8998866606813,ZINC SOFT CARE,NULL,NULL,10000,10000,15000,50,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8999999529918,'8999999529918,CLEAR SUPERFRESH APPLE 80ML,NULL,NULL,13000,13000,18000,44,N,N,0,0,0,3,7,N,0,,0,0,0,0,0,0
'8999999529550,'8999999529550,CLEAR COMPLETE SOFT CARE 80ML,NULL,NULL,13000,13000,18000,44,N,N,0,0,0,3,10,N,0,,0,0,0,0,0,0
'4902430401159,'4902430401159,PANTEN NATUR,NULL,NULL,12500,12500,18000,44,N,N,0,0,0,2,13,N,0,,0,0,0,0,0,0
'8998866104920,'8998866104920,ZINC BLACK SHINE 70ML,NULL,NULL,10000,10000,15000,50,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'8992946519369,'8992946519369,SHINZUI,NULL,NULL,0,0,35000,0,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8999908061102,'8999908061102,MARINA NATURAL SMOOTH&GLOW,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,9,N,0,,0,0,0,0,0,0
'8999908060907,'8999908060907,MARINA PROTECS & CARES,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'8999908214805,'8999908214805,MARINA RICH MOISTURIZING,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,8,N,0,,0,0,0,0,0,0
'8999908045607,'8999908045607,MARINA NUTRI FRESH MINI,NULL,NULL,0,0,8000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'899908060600,'8999908060600,MARINA MINI,NULL,NULL,0,0,8000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'8999999528942,'8999999528942,CITRA PEARLYWHITE UV,NULL,NULL,0,0,18000,0,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'8999999003760,'8999999003760,CITRA 250ML,NULL,NULL,0,0,25000,0,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8999999003722,'8999999003722,CITRA 120ML,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8999999003708,'8999999003708,CITRA BENGKUANG,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,7,N,0,,0,0,0,0,0,0
'8999999719418,'8999999719418,VASELINE,NULL,NULL,0,0,32000,0,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8998866105637,'8998866105637,EMERON LOVELY WHITE,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'8998866105491,'8998866105491,EMERON 120ML,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8998866106306,'8998866106306,EMERON LOVELY WHITE 120ML,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8998866106504,'8998866106504,EMERON LOVELY 120ML,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8992796022101,'8992796022101,HAND & BODY,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'4902430102254,'4902430102254,HEAD & SHOULDERS BRSH&HRUM 160,SMP,NULL,23000,23000,30000,30.43478,N,N,0,0,0,3,9,N,0,,0,0,0,0,0,0
'4902430450386,'4902430450386,REJOICE,NULL,NULL,0,0,40000,0,N,N,0,0,0,0,0,N,0,,0,0,0,0,0,0
'8999999029234,'8999999029234,SUNSILK,NULL,NULL,0,0,30000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'4902430219983,'4902430219983,HERBAL ESSENCES,NULL,NULL,0,0,30000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'4902430553629,'4902430553629,HEAD & SHOULDERS LEMON 70ML,SMP,NULL,12200,12200,18000,47.54098,N,N,0,0,0,0,13,N,0,,0,0,0,0,0,0
'4902430432245,'4902430432245,REJOICE,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,7,N,0,,0,0,0,0,0,0
'4902430102247,'4902430102247,HEAD & SOLDER,NULL,NULL,22900,22900,30000,31.00437,N,N,0,0,0,3,10,N,0,,0,0,0,0,0,0
'4902430400886,'4902430400886,PANTENE HAIR FALL CONTROL135ML,SMP,NULL,21000,21000,30000,42.85714,N,N,0,0,0,0,7,N,0,,0,0,0,0,0,0
'4902430400978,'4902430400978,PANTENE HAIR FALL CONTROL135ML,NULL,NULL,22100,22100,30000,35.74661,N,N,0,0,0,6,10,N,0,,0,0,0,0,0,0
'4902430400602,'4902430400602,PANTENE TOTAL DAMAGE CARE160ML,SMP,NULL,22100,22100,30000,35.74661,N,N,0,0,0,0,13,N,0,,0,0,0,0,0,0
'8999999048174,'8999999048174,SUNSILK BLACK SHINE 70ML,NULL,NULL,12200,12200,18000,-14.28571,N,N,0,0,0,0,14,N,0,,0,0,0,0,0,0
'4902430430883,'4902430430883,HEAD & SHOUDERS SUTERA 70ML,SMP,NULL,12500,12500,18000,44,N,N,0,0,0,0,7,N,0,,0,0,0,0,0,0
'4902430414289,'4902430414289,HEAD & SHOULDERS BRSH&HRUM70ML,SMP,NULL,12200,12200,18000,47.54098,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'TESA,'TESA,TISUE TESSA,NULL,NULL,3000,3000,5000,66.66667,N,N,0,0,0,0,28,N,0,,0,0,0,0,0,0
'PASEO,'PASEO,TISSU PASEO,NULL,NULL,3000,3000,6000,100,N,N,0,0,0,0,15,N,0,,0,0,0,0,0,0
'JOLLY,'JOLLY,TISSUE JOLLY 90G,NULL,NULL,4000,4000,8000,100,N,N,0,0,0,0,11,N,0,,0,0,0,0,0,0
'8992759134117,'8992759134117,TISSUE NICE 60 SHEETS,NULL,NULL,4000,4000,8000,100,N,N,0,0,0,0,32,N,0,,0,0,0,0,0,0
'8992931027015,'8992931027015,TISSUE MULTI 100 SHEET,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,12,N,0,,0,0,0,0,0,0
'8993053311013,'8993053311013,PASEO SOFT AND NATURAL,NULL,NULL,6000,6000,10000,0,N,N,0,0,0,5,11,N,0,,0,0,0,0,0,0
'8992759244021,'8992759244021,TISSUE NICE 200 SHEET,TS,NULL,4500,4500,8000,77.77778,N,N,0,0,0,0,11,N,0,,0,0,0,0,0,0
'TISU P,'TISU P,TISSUE PASEO SMART 250 SHEET,NULL,NULL,0,0,20000,0,N,N,0,0,0,0,35,N,0,,0,0,0,0,0,0
'8992759313529,'8992759313529,TISSUE NICE 250SHEETS,NULL,NULL,0,0,20000,0,N,N,0,0,0,0,12,N,0,,0,0,0,0,0,0
'8993053111408,'8993053111408,PASEO ELEGANT,NULL,NULL,0,0,25000,0,N,N,0,0,0,0,3,N,0,,0,0,0,0,0,0
'8993053111873,'8993053111873,TISSUE PASEO 100 SHEETS,NULL,NULL,19000,19000,20000,66.66667,N,N,0,0,0,6,12,N,0,,0,0,0,0,0,0
'4801010561309,'4801010561309,GOHNSONS BABY BLOSSOMS,NULL,NULL,3000,3000,6000,100,N,N,0,0,0,0,7,N,0,,0,0,0,0,0,0
'7640129890040,'7640129890040,ASEPSO,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,12,N,0,,0,0,0,0,0,0
'8888103200617,'8888103200617,CUSSONS BABY,NULL,NULL,0,0,6000,0,N,N,0,0,0,0,13,N,0,,0,0,0,0,0,0
'8998866608312,'8998866608312,GIV,NULL,NULL,0,0,5000,0,N,N,0,0,0,0,18,N,0,,0,0,0,0,0,0
'8993005112019,'8993005112019,JF THE SKIN,NULL,NULL,0,0,12000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'8998866608305,'8998866608305,GIVE,NULL,NULL,0,0,5000,0,N,N,0,0,0,3,5,N,0,,0,0,0,0,0,0
'8997029490337,'8997214430087, PAPAYA by Mamaya,SBN,NULL,16666,16666.67,22000,32.00528,N,N,0,0,0,10,8,N,0,,0,0,0,0,0,0
'8999999015947,'8999999015947,DOVE,NULL,NULL,0,0,5000,0,N,N,0,0,0,0,6,N,0,,0,0,0,0,0,0
'4801010562108,'4801010562108,GOHNSONS MILK SHOP,NULL,NULL,0,0,10000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8999999518790,'8999999518790,LIFEBUOY,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,1,N,0,,0,0,0,0,0,0
'8992727002851,'8992727002851,BIORE MEN,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8992727001670,'8992727001670,COOL NERGY,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8992727003810,'8992727003810,HYGIENIC ENERGY,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'8999999036492,'8999999036492,LUX,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,2,N,0,,0,0,0,0,0,0
'8996006858320,'8996006858320,FRUIT TEA LEMON,BTL,MINUMAN,3667,3667,5000,36.35124,N,N,0,0,0,52,230,N,0,,0,0,0,0,0,0
'8996006858085,'8996006858085,FRUIT TEA APEL 350ML,BTL,MINUMAN,3250,3250,5000,53.84615,N,N,0,0,0,73,122,N,0,,0,0,0,0,0,0
'8997025060152,'8997025060152,BIG COLA HITAM,NULL,NULL,3500,3500,5000,42.85714,N,N,0,0,0,0,85,N,0,,0,0,0,0,0,0
'8994834003950,'8994834003950,FRENCH 2000,NULL,NULL,1800,1800,2500,38.88889,N,N,0,0,0,22,281,N,0,,0,0,0,0,0,0
'8993083932141,'8993083932141,VEGETABLE AND CHEESE,NULL,NULL,1800,1800,3000,66.66667,N,N,0,0,0,79,268,N,0,,0,0,0,0,0,0
'8886022941512,'8886022941512,ALKALINE AAA,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,30,N,0,,0,0,0,0,0,0
'8888021201550,'8888021201550,ENERGIZER AA,NULL,NULL,0,0,30000,0,N,N,0,0,0,0,7,N,0,,0,0,0,0,0,0
'8999002245125,'8999002245125,ENERGIZER AA 4PACK,NULL,NULL,36600,36600,50000,36.61202,N,N,0,0,0,0,19,N,0,,0,0,0,0,0,0
'8999002675038,'8999002675038,ENERGIZER AA 6PACK,NULL,NULL,0,0,55000,0,N,N,0,0,0,0,9,N,0,,0,0,0,0,0,0
'8999002672129,'8999002672129,ENERGIZER AAA 4PACK,NULL,NULL,0,0,35000,0,N,N,0,0,0,0,5,N,0,,0,0,0,0,0,0
'8888021200546,'8888021200546,ENERGIZER AAA,NULL,NULL,0,0,25000,0,N,N,0,0,0,0,9,N,0,,0,0,0,0,0,0
'8888021200539,'8888021200539,ENERGIZER AA,NULL,NULL,21700,21700,30000,38.24885,N,N,0,0,0,0,23,N,0,,0,0,0,0,0,0
'8999002524916,'8999002524916,ENERGIZER,NULL,NULL,21700,21700,30000,38.24885,N,N,0,0,0,0,27,N,0,,0,0,0,0,0,0
'8999002311462,'8999002311462,EVEREADY,NULL,NULL,0,0,25000,0,N,N,0,0,0,0,13,N,0,,0,0,0,0,0,0
'8999002310564,'8999002310564,EVEREADY,NULL,NULL,11000,11000,25000,127.27273,N,N,0,0,0,0,24,N,0,,0,0,0,0,0,0
'8999002692417,'8999002692417,EVEREADY,NULL,NULL,0,0,15000,0,N,N,0,0,0,0,9,N,0,,0,0,0,0,0,0
'9312931540380,'9312931540380,ENERGIZER,NULL,NULL,87200,87200,100000,14.6789,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8999002525012,'8999002525012,ENERGIZER,NULL,NULL,18600,18600,25000,34.4086,N,N,0,0,0,0,15,N,0,,0,0,0,0,0,0
'6920403162751,'6920403162751,EVEREADY,NULL,NULL,0,0,20000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8999002584057,'8999002584057,EVEREADY,NULL,NULL,13700,13700,20000,45.9854,N,N,0,0,0,0,16,N,0,,0,0,0,0,0,0
'8991102883023,'8991102883023,PROST BEER 330ML,NULL,NULL,19000,19000,25000,31.57895,N,N,0,0,0,0,24,N,0,,0,0,0,0,0,0
'8999999706081,'8999999706081,PEPSODEN 75G,NULL,NULL,4500,4500,10000,0,N,N,0,0,0,35,128,N,0,,0,0,0,0,0,0
'8992695744067,'8992695744067,SENSODYNE,NULL,NULL,0,0,35000,0,N,N,0,0,0,0,4,N,0,,0,0,0,0,0,0
'8999999707835,'8999999707835,CLOESEUP,NULL,NULL,9600,9600,15000,56.25,N,N,0,0,0,0,73,N,0,,0,0,0,0,0,0
